pincode,city_in,state,city_api,serviceable,fast_min,fast_max,std_min,std_max,error
110001,Delhi,Delhi (UT),Delhi,Yes,3,5,8,11,
110002,Delhi,Delhi (UT),Delhi,Yes,2,4,7,10,
110003,Delhi,Delhi (UT),Delhi,Yes,2,4,7,10,
110004,Delhi,Delhi (UT),Delhi,Yes,2,4,7,10,
110005,Delhi,Delhi (UT),Delhi,Yes,3,5,8,11,
110006,Delhi,Delhi (UT),Delhi,Yes,2,4,7,10,
110007,Delhi,Delhi (UT),Delhi,Yes,3,5,8,11,
110008,Delhi,Delhi (UT),Delhi,Yes,3,5,8,11,
110009,Delhi,Delhi (UT),Delhi,Yes,3,5,8,11,
110010,Delhi,Delhi (UT),Delhi,Yes,3,5,8,11,
110011,Delhi,Delhi (UT),Delhi,Yes,3,4,8,10,
110012,Delhi,Delhi (UT),Delhi,Yes,3,4,8,10,
110013,Delhi,Delhi (UT),Delhi,Yes,3,4,8,10,
110014,Delhi,Delhi (UT),Delhi,Yes,3,5,8,11,
110015,Delhi,Delhi (UT),Delhi,Yes,3,5,8,11,
110016,Delhi,Delhi (UT),Delhi,Yes,3,4,8,10,
110017,Delhi,Delhi (UT),Delhi,Yes,3,5,8,11,
110018,Delhi,Delhi (UT),Delhi,Yes,3,5,8,11,
110019,Delhi,Delhi (UT),Delhi,Yes,3,5,8,11,
110020,Delhi,Delhi (UT),Delhi,Yes,3,5,8,11,
110021,Delhi,Delhi (UT),Delhi,Yes,3,5,8,11,
110022,Delhi,Delhi (UT),Delhi,Yes,3,5,8,11,
110023,Delhi,Delhi (UT),Delhi,Yes,3,5,8,11,
110024,Delhi,Delhi (UT),Delhi,Yes,3,5,8,11,
110025,Delhi,Delhi (UT),Delhi,Yes,2,4,7,10,
110026,Delhi,Delhi (UT),Delhi,Yes,3,4,8,10,
110028,Delhi,Delhi (UT),Delhi,Yes,3,4,8,10,
110029,Delhi,Delhi (UT),Delhi,Yes,3,5,8,11,
110030,Delhi,Delhi (UT),Delhi,Yes,3,5,8,11,
110031,Delhi,Delhi (UT),Delhi,Yes,3,4,8,10,
110032,Delhi,Delhi (UT),Delhi,Yes,3,5,8,11,
110027,Delhi,Delhi (UT),Delhi,Yes,3,5,8,11,
